제목,설명,한글
ㄱ[기역],한글 자모의 첫째 글자.,기역
가감 (加減),더하거나 뺌.,기역
가건물(假建物),임시로 지은 건물.,기역
가게,작은 규모로 물건을 파는 곳.,기역
가격(價格),물건의 가치를 돈으로 나타낸 것.,기역
가결(可決),회의에서 제출된 의안을 인정하고 좋다고 결정함.,기역
가계(家計),가정의 수입과 지출 상태.,기역
가곡(歌曲),우리나라 전통 성악곡의 하나. 서양 음악에서 시에 곡을 붙인 성악곡.,기역
가공(加工),원자재나 반제품에 기술과 힘을 들여 새로운 제품을 만들거나 제품의 질을 높임.,기역
가구(家具),집안 생활에 필요한 여러 가지 기구.,기역
가구주(家口主),한 가구의 법적인 대표가 되는 사람.,기역
가까스로,애 써서 겨우. 간신히.,기역
가깝다¹,어느 한 곳에서 다른 곳까지의 거리가 짧다.,기역
가깝다²,서로의 사이가 친밀하다.,기역
가꾸다¹,생물이 잘 자라도록 손질하고 보살피다.,기역
가꾸다²,꾸미다. 치장하다.,기역
가끔,시간적·공간적 간격이 얼마쯤씩 뜨게.,기역
가나(Ghana),아프리카 서부 기니 만에 인접한 공화국.,기역
가나안(Canaan),팔레스타인 요르단 강 서쪽 지역의 옛 이름.,기역
가난,형편이 넉넉하지 못하고 쪼들림.,기역
가냘프다,몸이나 팔다리가 몹시 가늘고 연약하다.,기역
가늘다,물체의 굵기나 너비가 얇거나 좁다.,기역
가능(可能),할 수 있거나 될 수 있음.,기역
가다,한 곳에서 다른 곳으로 움직이다.,기역
가다듬다,"정신, 생각, 마음 따위를 바로 잡거나 정리하다.",기역
가담(加擔),같은 편이 되어 일을 함께 하거나 도와줌.,기역
가두다,일정한 장소에 넣고 밖으로 나오지 못하게 하다.,기역
가득하다,분량이나 수효가 어떤 범위나 한도에 꽉 차다. 가득히.,기역
가라앉다¹,액체 표면에 떠 있거나 섞여 있는 것이 밑바닥으로 내려 앉다.,기역
가라앉다²,호흡이나 마음의 흥분이 안정되다.,기역
가랑비,가늘게 내리는 비.,기역
가랑잎,활엽수의 떨어진 마른 잎.,기역
가래,목구멍에 생기는 끈적끈적한 분비물.,기역
가래떡,가는 원통형으로 길게 뽑아 일정한 길이로 자른 흰떡.,기역
가래침,가래가 섞인 침.,기역
가련하다,가엾고 불쌍하다.,기역
가렵다,피부에 긁고 싶은 느낌이 있다.,기역
가령(假令),어떠한 일을 가정(假定)하여 말하여.,기역
가로,왼쪽에서 오른 쪽으로 나 있는 방향.,기역
가로등(街路燈),거리의 조명. 또는 교통의 안전을 위해 길가에 설치한 조명등.,기역
가로수(街路樹),길을 따라 줄지어 심은 나무.,기역
가로채다,옆에서 갑자기 쳐서 빼앗다.,기역
가루,잘게 부수거나 갈아서 만든 것.,기역
가루약,가루로 된 약.,기역
가르다,나누다.,기역
가르마,머리카락을 양쪽으로 갈랐을 때 생기는 금.,기역
가르치다,"지식이나 기능, 이치 따위를 깨닫거나 배우게 하다.",기역
가리키다,손가락 따위로 어떤 방향이나 대상을 접어서 보이거나 알리다.,기역
가마,옛날에 사람이 안에 타고 둘이나 넷이 들거나 메던 조그만 집 모양의 탈것.,기역
가마니,곡식이나 소금 따위를 담기 위하여 짚으로 짠 큰 자루.,기역
가마솥,크고 우묵한 솥.가마.,기역
가만있다,몸을 움직이거나 관계하지 않고 조용히 있다.,기역
가만히,움직이지 않거나 아무 말 없이.,기역
가망(可望),될 만하거나 가능성이 있는 희망.,기역
가매장(假埋葬),시체를 임시로 묻음.,기역
가면(假面),"얼굴을 감추거나 달리 꾸미기 위하여 나무, 종이, 흙 따위로 만든 얼굴의 형상.",기역
가명(假名),실제의 자기 이름이 아닌 이름.,기역
가무(歌舞),노래와 춤.,기역
가물거리다,멀리 있는 물체가 보일 듯 말 듯 희미하다.,기역
가뭄,오랫동안 계속하여 비가 내리지 않아 메마른 날씨.,기역
가발(假髮),머리털이나 이와 유사한 것으로 머리 모양을 만들어 쓰는 것.,기역
가방,물건을 넣어 들거나 메고 다닐 수 있게 만든 용구.,기역
가볍다,무게가 일반적이거나 기준이 되는 대상의 것보다 적다.,기역
